position,rx phyrate,rx mcs,rx nss,noise,avg beacon rssi,diff rx bytes,diff rx packets,
"1,1",0,0,0,0,0,0,0,
"1,2",65000,7,1,-94,-76,0,0,
"1,3",65000,7,1,-94,-76,0,0,
"1,4",65000,7,1,-94,-76,0,0,
"1,5",65000,7,1,-94,-76,0,0,
"1,6",65000,7,1,-94,-76,0,0,
"1,7",65000,7,1,-94,-76,0,0,
"1,8",65000,7,1,-94,-75,0,0,
"1,9",65000,7,1,-94,-75,0,0,
"1,10",65000,7,1,-94,-75,0,0,
"1,11",65000,7,1,-94,-75,0,0,
"1,12",65000,7,1,-94,-75,0,0,
"1,13",65000,7,1,-94,-75,0,0,
"1,14",65000,7,1,-94,-75,0,0,
"1,15",65000,7,1,-94,-75,0,0,
"1,16",65000,7,1,-94,-75,0,0,
"1,17",65000,7,1,-94,-75,0,0,
"1,18",65000,7,1,-94,-75,0,0,
"1,19",65000,7,1,-94,-75,0,0,
"1,20",65000,7,1,-94,-75,0,0,
"1,21",65000,7,1,-94,-75,0,0,
"1,22",65000,7,1,-94,-75,0,0,
"1,23",65000,7,1,-94,-75,0,0,
"1,24",65000,7,1,-94,-75,0,0,
"1,25",65000,7,1,-94,-75,0,0,
"1,26",65000,7,1,-94,-75,0,0,
"1,27",65000,7,1,-94,-75,0,0,
"1,28",65000,7,1,-94,-76,0,0,
"1,29",65000,7,1,-94,-76,0,0,
"1,30",65000,7,1,-94,-76,0,0,
"1,31",65000,7,1,-94,-76,0,0,
"1,32",65000,7,1,-94,-76,0,0,
"1,33",0,0,0,0,0,0,0,
"1,34",0,0,0,0,0,0,0,
"1,35",0,0,0,0,0,0,0,
"1,36",0,0,0,0,0,0,0,
"1,37",0,0,0,0,0,0,0,
"1,38",0,0,0,0,0,0,0,
"1,39",0,0,0,0,0,0,0,
"1,40",0,0,0,0,0,0,0,
"1,41",0,0,0,0,0,0,0,
"1,42",0,0,0,0,0,0,0,
"1,43",0,0,0,0,0,0,0,
"1,44",0,0,0,0,0,0,0,
"1,45",0,0,0,0,0,0,0,
"1,46",0,0,0,0,0,0,0,
"1,47",0,0,0,0,0,0,0,
"1,48",0,0,0,0,0,0,0,
"1,49",0,0,0,0,0,0,0,
"1,50",0,0,0,0,0,0,0,
"1,51",0,0,0,0,0,0,0,
"1,52",0,0,0,0,0,0,0,
"1,53",0,0,0,0,0,0,0,
"1,54",0,0,0,0,0,0,0,
"1,55",0,0,0,0,0,0,0,
"1,56",0,0,0,0,0,0,0,
"1,57",0,0,0,0,0,0,0,
"1,58",0,0,0,0,0,0,0,
"1,59",0,0,0,0,0,0,0,
"1,60",0,0,0,0,0,0,0,
"1,61",0,0,0,0,0,0,0,
"1,62",0,0,0,0,0,0,0,
"1,63",0,0,0,0,0,0,0,
"1,64",0,0,0,0,0,0,0,
"1,65",0,0,0,0,0,0,0,
"1,66",0,0,0,0,0,0,0,
"1,67",0,0,0,0,0,0,0,
"1,68",0,0,0,0,0,0,0,
"1,69",0,0,0,0,0,0,0,
"1,70",0,0,0,0,0,0,0,
"1,71",0,0,0,0,0,0,0,
"1,72",0,0,0,0,0,0,0,
"1,73",0,0,0,0,0,0,0,
"1,74",0,0,0,0,0,0,0,
"2,1",65000,7,1,-94,-76,0,0,
"2,2",65000,7,1,-94,-76,0,0,
"2,3",65000,7,1,-94,-76,0,0,
"2,4",65000,7,1,-94,-76,0,0,
"2,5",65000,7,1,-94,-75,0,0,
"2,6",65000,7,1,-94,-75,0,0,
"2,7",65000,7,1,-94,-75,0,0,
"2,8",65000,7,1,-94,-75,0,0,
"2,9",65000,7,1,-94,-75,0,0,
"2,10",65000,7,1,-94,-75,0,0,
"2,11",65000,7,1,-94,-75,0,0,
"2,12",65000,7,1,-94,-74,0,0,
"2,13",65000,7,1,-94,-74,0,0,
"2,14",65000,7,1,-94,-74,0,0,
"2,15",65000,7,1,-94,-74,0,0,
"2,16",65000,7,1,-94,-74,0,0,
