position,rx phyrate,rx mcs,rx nss,noise,avg beacon rssi,diff rx bytes,diff rx packets,
"1,1",0,0,0,0,0,0,0,
"1,2",0,0,0,0,0,0,0,
"1,3",0,0,0,0,0,0,0,
"1,4",0,0,0,0,0,0,0,
"1,5",0,0,0,0,0,0,0,
"1,6",0,0,0,0,0,0,0,
"1,7",0,0,0,0,0,0,0,
"1,8",0,0,0,0,0,0,0,
"1,9",0,0,0,0,0,0,0,
"1,10",0,0,0,0,0,0,0,
"1,11",0,0,0,0,0,0,0,
"1,12",0,0,0,0,0,0,0,
"1,13",0,0,0,0,0,0,0,
"1,14",0,0,0,0,0,0,0,
"1,15",0,0,0,0,0,0,0,
"1,16",0,0,0,0,0,0,0,
"1,17",0,0,0,0,0,0,0,
"1,18",0,0,0,0,0,0,0,
"1,19",0,0,0,0,0,0,0,
"1,20",0,0,0,0,0,0,0,
"1,21",0,0,0,0,0,0,0,
"1,22",0,0,0,0,0,0,0,
"1,23",0,0,0,0,0,0,0,
"1,24",0,0,0,0,0,0,0,
"1,25",0,0,0,0,0,0,0,
"1,26",0,0,0,0,0,0,0,
"1,27",0,0,0,0,0,0,0,
"1,28",0,0,0,0,0,0,0,
"1,29",0,0,0,0,0,0,0,
"1,30",0,0,0,0,0,0,0,
"1,31",0,0,0,0,0,0,0,
"1,32",0,0,0,0,0,0,0,
"1,33",0,0,0,0,0,0,0,
"1,34",38804,4,1,-94,-81,13226436,10701,
"1,35",42072,4,1,-94,-81,16993764,13749,
"1,36",42419,4,1,-94,-80,18082680,14630,
"1,37",41874,4,1,-94,-80,17485692,14147,
"1,38",42486,4,1,-94,-79,17778624,14384,
"1,39",42645,4,1,-94,-79,16286772,13177,
"1,40",42679,4,1,-94,-78,5160300,4175,
"1,41",39254,4,1,-94,-77,3292704,2664,
"1,42",29206,3,1,-94,-77,3724104,3014,
"1,43",53821,5,1,-94,-76,6250452,5057,
"1,44",56940,5,1,-94,-75,4989732,4037,
"1,45",56695,5,1,-94,-74,3890928,3148,
"1,46",55398,5,1,-94,-73,7209588,5833,
"1,47",66458,7,1,-94,-73,8321988,6733,
"1,48",71816,7,1,-94,-72,7056396,5711,
"1,49",106970,11,1,-94,-65,8801556,7121,
"1,50",119202,11,1,-94,-62,10236552,8282,
"1,51",120138,11,1,-94,-61,10150068,8213,
"1,52",120158,11,1,-94,-60,9958488,8058,
"1,53",120125,11,1,-94,-59,10578924,8559,
"1,54",120380,11,1,-94,-57,9210672,7452,
"1,55",120280,11,1,-94,-56,9790356,7921,
"1,56",120533,11,1,-94,-55,8551884,6919,
