position,per,tx phyrate,tx mcs,tx nss,chload,chload self,total_latency_50_percent,total_latency_95_percent,total_latency_99_percent,txtime_latency_50_percent,txtime_latency_95_percent,txtime_latency_99_percent,uldelay <100ms,uldelay 100-500ms,uldelay 500-900ms,uldelay 900-1300ms,uldelay 1300-1700ms,uldelay 1700-2100ms,uldelay >2100ms,txtime <1ms,txtime 1-5ms,txtime 5-9ms,txtime 9-13ms,txtime 13-17ms,txtime 17-21ms,txtime >21ms,diff tx bytes,diff tx packets,diff tx ppdu cnt,diff tx ppdu retry cnt
"1,1",0,0,0,0,977,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2",0,0,0,0,975,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3",0,0,0,0,974,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4",0,0,0,0,970,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,5",0,0,0,0,963,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6",0,0,0,0,962,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,7",0,0,0,0,975,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,8",0,0,0,0,970,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,9",0,0,0,0,971,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,10",0,0,0,0,972,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,11",0,0,0,0,968,4,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,12",40,73125,7,1,1034,2,8,182,281,0,4,5,0.905556,0.094444,0,0,0,0,0,0.8,0.184314,0.015686,0,0,0,0,27495,180,303,123
"1,13",35,73125,7,1,1028,2,6,53,113,0,4,5,0.977778,0.022222,0,0,0,0,0,0.830116,0.15444,0.015444,0,0,0,0,27495,180,278,98
"1,14",40,73125,7,1,1030,2,9,135,197,0,4,6,0.916667,0.083333,0,0,0,0,0,0.80303,0.162879,0.030303,0.003788,0,0,0,27495,180,305,125
"1,15",49,77321,8,1,1035,2,12,329,557,0,4,5,0.877778,0.088889,0.033333,0,0,0,0,0.783784,0.177606,0.03861,0,0,0,0,26599,174,359,179
"1,16",35,79261,8,1,1034,2,11,417,533,0,4,4,0.833333,0.133333,0.033333,0,0,0,0,0.853333,0.137778,0.008889,0,0,0,0,26570,174,271,95
"1,17",43,82361,9,1,1037,2,9,183,382,0,4,5,0.906077,0.093923,0,0,0,0,0,0.771654,0.192913,0.027559,0.007874,0,0,0,27659,181,320,140
"1,18",44,84587,9,1,1035,2,12,306,472,0,4,6,0.838889,0.15,0.011111,0,0,0,0,0.790514,0.166008,0.043478,0,0,0,0,27235,178,326,146
"1,19",37,86104,9,1,1034,2,9,168,503,0,4,8,0.927778,0.055556,0.016667,0,0,0,0,0.794466,0.16996,0.023715,0.011858,0,0,0,26985,177,286,107
"1,20",36,87296,9,1,1034,2,9,174,335,0,4,5,0.917582,0.082418,0,0,0,0,0,0.798387,0.189516,0.012097,0,0,0,0,27725,182,284,103
"1,21",37,88267,9,1,1025,2,9,55,107,0,5,6,0.977778,0.022222,0,0,0,0,0,0.783883,0.161172,0.054945,0,0,0,0,27495,180,289,109
"1,22",43,89130,9,1,1037,2,15,237,412,0,5,7,0.861111,0.133333,0.005556,0,0,0,0,0.737255,0.207843,0.05098,0.003922,0,0,0,27318,179,319,139
"1,23",45,89859,9,1,1036,2,18,503,534,0,4,8,0.770833,0.166667,0.0625,0,0,0,0,0.781893,0.185185,0.032922,0,0,0,0,27506,180,338,154
"1,24",42,90461,9,1,1028,2,10,204,510,0,4,7,0.888889,0.094444,0.016667,0,0,0,0,0.812,0.156,0.032,0,0,0,0,27120,177,313,134
"1,25",38,90939,9,1,1031,2,10,256,452,0,4,5,0.9,0.094444,0.005556,0,0,0,0,0.817021,0.148936,0.034043,0,0,0,0,27339,179,294,114
"1,26",45,92259,10,1,1031,2,13,417,704,0,3,5,0.777778,0.183333,0.038889,0,0,0,0,0.824074,0.162037,0.009259,0.00463,0,0,0,26412,173,327,148
"1,27",44,93406,10,1,1031,2,9,144,242,0,4,6,0.916667,0.083333,0,0,0,0,0,0.808765,0.155378,0.031873,0.003984,0,0,0,27495,180,324,144
"1,28",47,95216,11,1,1043,2,10,149,299,0,4,7,0.894444,0.105556,0,0,0,0,0,0.773438,0.1875,0.039062,0,0,0,0,27495,180,342,162
"1,29",42,96706,11,1,1031,2,8,129,220,0,4,5,0.927778,0.072222,0,0,0,0,0,0.83209,0.141791,0.022388,0.003731,0,0,0,27495,180,315,135
"1,30",41,98035,11,1,1038,2,16,468,564,0,5,7,0.782609,0.173913,0.043478,0,0,0,0,0.76569,0.175732,0.054393,0.004184,0,0,0,26773,176,308,127
"1,31",36,99122,11,1,1043,2,8,93,175,0,4,8,0.955556,0.044444,0,0,0,0,0,0.78,0.184,0.036,0,0,0,0,27495,180,283,103
"1,32",38,100103,11,1,1048,2,11,526,560,0,4,6,0.811111,0.1,0.088889,0,0,0,0,0.779817,0.174312,0.045872,0,0,0,0,25026,164,277,106
"1,33",38,101027,11,1,1045,2,11,247,555,0,4,8,0.9,0.077778,0.022222,0,0,0,0,0.759843,0.19685,0.03937,0.003937,0,0,0,26969,176,292,113
"1,34",38,101853,11,1,1049,2,14,511,576,0,5,8,0.783333,0.15,0.066667,0,0,0,0,0.763393,0.183036,0.044643,0.004464,0.004464,0,0,25541,168,280,107
"1,35",44,102743,11,1,1028,2,11,317,496,0,4,6,0.877778,0.116667,0.005556,0,0,0,0,0.799257,0.171004,0.026022,0.003717,0,0,0,27357,179,323,143
"1,36",30,103391,11,1,1027,2,8,245,520,0,4,5,0.911111,0.066667,0.022222,0,0,0,0,0.823276,0.155172,0.021552,0,0,0,0,26908,176,257,79
"1,37",38,104064,11,1,1031,2,8,51,121,0,4,5,0.983425,0.016575,0,0,0,0,0,0.794872,0.186813,0.014652,0.003663,0,0,0,27561,181,292,111
"1,38",40,104713,11,1,1038,2,8,62,139,0,4,6,0.983333,0.016667,0,0,0,0,0,0.842697,0.134831,0.018727,0.003745,0,0,0,27495,180,301,121
"1,39",38,105307,11,1,1033,2,9,46,116,0,4,6,0.983333,0.016667,0,0,0,0,0,0.81295,0.169065,0.017986,0,0,0,0,27495,180,293,113
"1,40",39,105872,11,1,1026,2,8,93,272,0,4,4,0.955556,0.044444,0,0,0,0,0,0.838462,0.157692,0.003846,0,0,0,0,27495,180,298,118
"1,41",50,106497,11,1,1033,2,10,199,378,0,4,6,0.911111,0.088889,0,0,0,0,0,0.805344,0.179389,0.01145,0.003817,0,0,0,27495,180,361,181
"1,42",38,106973,11,1,1038,2,8,98,142,0,4,4,0.955556,0.044444,0,0,0,0,0,0.825095,0.1673,0.007605,0,0,0,0,27495,180,295,115
"1,43",39,107404,11,1,1032,2,10,517,546,0,4,5,0.827778,0.094444,0.077778,0,0,0,0,0.832599,0.145374,0.022026,0,0,0,0,25484,166,282,112
"1,44",36,107794,11,1,1031,2,8,452,528,0,4,5,0.894444,0.055556,0.044444,0.005556,0,0,0,0.824,0.16,0.016,0,0,0,0,26177,171,271,98
"1,45",37,108158,11,1,1033,2,8,523,546,0,4,4,0.85,0.083333,0.066667,0,0,0,0,0.848485,0.142857,0.008658,0,0,0,0,25838,168,271,101
"1,46",35,108515,11,1,1033,2,7,291,548,0,4,8,0.902703,0.07027,0.027027,0,0,0,0,0.854251,0.11336,0.024291,0.008097,0,0,0,27402,180,277,97
"1,47",40,108895,11,1,1042,2,12,74,125,0,4,6,0.966851,0.033149,0,0,0,0,0,0.73913,0.224638,0.032609,0,0.003623,0,0,27659,181,301,121
"1,48",43,109271,11,1,1047,2,12,163,268,0,4,10,0.894444,0.105556,0,0,0,0,0,0.743802,0.210744,0.033058,0.012397,0,0,0,27495,180,318,138
"1,49",40,109597,11,1,1043,2,11,111,166,0,4,5,0.944444,0.055556,0,0,0,0,0,0.765152,0.189394,0.041667,0.003788,0,0,0,27495,180,302,122
"1,50",44,109913,11,1,1039,2,18,531,823,0,4,8,0.712707,0.198895,0.082873,0.005525,0,0,0,0.763285,0.188406,0.038647,0.009662,0,0,0,25255,165,305,135
"1,51",47,110231,11,1,1035,2,12,505,530,0,4,6,0.85,0.083333,0.066667,0,0,0,0,0.772727,0.181818,0.045455,0,0,0,0,25614,168,325,153
"1,52",53,110564,11,1,1038,2,38,535,814,0,4,7,0.622222,0.25,0.122222,0.005556,0,0,0,0.730392,0.22549,0.044118,0,0,0,0,23902,157,360,192
"1,53",44,110543,10,1,1037,2,15,449,514,0,4,10,0.816667,0.138889,0.044444,0,0,0,0,0.745833,0.2125,0.029167,0.0125,0,0,0,26166,172,316,141
"1,54",35,110525,10,1,1039,2,9,234,730,0,4,5,0.895028,0.077348,0.027624,0,0,0,0,0.838983,0.144068,0.012712,0.004237,0,0,0,26777,176,280,99
