position,rx phyrate,rx mcs,rx nss,noise,avg beacon rssi,diff rx bytes,diff rx packets,
"1,1",0,0,0,0,0,0,0,
"1,2",0,0,0,0,0,0,0,
"1,3",0,0,0,0,0,0,0,
"1,4",0,0,0,0,0,0,0,
"1,5",0,0,0,0,0,0,0,
"1,6",0,0,0,0,0,0,0,
"1,7",0,0,0,0,0,0,0,
"1,8",0,0,0,0,0,0,0,
"1,9",0,0,0,0,0,0,0,
"1,10",0,0,0,0,0,0,0,
"1,11",0,0,0,0,0,0,0,
"1,12",30777,2,1,-94,-82,2279184,1844,
"1,13",29897,2,1,-94,-81,3507768,2838,
"1,14",42120,4,1,-94,-81,4990968,4038,
"1,15",42174,4,1,-94,-80,5021868,4063,
"1,16",40512,4,1,-94,-80,4555896,3686,
"1,17",42166,4,1,-94,-79,4806804,3889,
"1,18",41082,4,1,-94,-78,4407576,3566,
"1,19",42783,4,1,-94,-78,5138052,4157,
"1,20",46367,4,1,-94,-77,6652188,5383,
"1,21",39743,4,1,-94,-76,5018160,4060,
"1,22",44035,4,1,-94,-75,3890928,3148,
"1,23",48666,4,1,-94,-75,6903060,5585,
"1,24",38118,4,1,-94,-74,4271616,3456,
"1,25",55366,5,1,-94,-73,5476716,4431,
"1,26",62306,6,1,-94,-72,7004448,5668,
"1,27",94487,11,1,-94,-66,7886916,6381,
"1,28",118141,11,1,-94,-62,7605108,6153,
"1,29",120133,11,1,-94,-61,7744812,6267,
"1,30",119703,11,1,-94,-60,11367492,9197,
"1,31",119657,11,1,-94,-58,11816160,9560,
"1,32",119797,11,1,-94,-57,11487384,9294,
"1,33",119864,11,1,-94,-56,11682672,9452,
"1,34",120457,11,1,-94,-54,10967028,8873,
"1,35",120289,11,1,-94,-52,11743236,9501,
"1,36",120258,11,1,-94,-50,11382324,9209,
"1,37",120285,11,1,-94,-49,11816196,9561,
"1,38",120173,11,1,-94,-47,11319288,9158,
"1,39",120240,11,1,-94,-46,11272320,9120,
"1,40",119814,11,1,-94,-45,9358992,7572,
"1,41",120758,11,1,-94,-46,13934664,11274,
"1,42",120971,11,1,-94,-47,9726084,7869,
"1,43",119891,11,1,-94,-48,14827056,11996,
"1,44",120340,11,1,-94,-50,7580388,6133,
"1,45",121091,11,1,-94,-52,9619788,7783,
"1,46",120807,11,1,-94,-53,9942420,8045,
"1,47",119189,11,1,-94,-55,9328092,7547,
"1,48",119866,11,1,-94,-57,7815228,6323,
"1,49",120335,11,1,-94,-58,6146628,4973,
"1,50",119850,11,1,-94,-59,8591436,6951,
"1,51",120136,11,1,-94,-61,7707696,6236,
